temperatura,precipitacao,altitude,declividade,exposicao,distancia_vertical_drenagem,densidade_drenagem,cobertura_arborea,estrategia_cluster,estrategia
18.5,1729.0,26.290000915527344,1.957808017730713,88.15238952636719,13.529999732971191,14.781299591064451,40.0,2,intensiva_irrigacao
18.6,1685.0,310.6199951171875,0.6619619727134705,224.6441345214844,6.730000019073486,17.693899154663086,7.0,2,intensiva_irrigacao
18.8,1668.0,17.649999618530273,2.948570966720581,270.0,4.989999771118164,14.795299530029297,80.0,2,intensiva_irrigacao
18.9,2251.0,157.66000366210938,0.6269930005073547,141.34019470214844,57.77000045776367,11.704299926757812,77.0,2,intensiva_irrigacao
19.1,1837.0,123.4499969482422,0.2058790028095245,168.6900634765625,71.62999725341797,15.668399810791016,10.0,2,intensiva_irrigacao
19.1,1837.0,123.4499969482422,0.2058790028095245,168.6900634765625,71.62999725341797,15.668399810791016,10.0,2,intensiva_irrigacao
19.1,2546.0,1053.1199951171875,5.602138996124268,217.4053649902344,0.0,21.997800827026367,20.0,2,intensiva_irrigacao
19.200000000000003,2097.0,174.02999877929688,0.5154110193252563,155.85446166992188,61.459999084472656,20.177600860595703,45.0,2,intensiva_irrigacao
19.4,1813.0,126.58000183105467,1.608886957168579,186.8427734375,7.980000019073486,15.56700038909912,27.0,2,intensiva_irrigacao
19.4,1896.0,206.47000122070312,0.4249880015850067,12.115240097045898,8.5,20.94700050354004,13.0,2,intensiva_irrigacao
19.5,2817.0,40.06999969482422,1.1791269779205322,169.76895141601562,164.11000061035156,8.17140007019043,85.0,2,intensiva_irrigacao
20.0,3431.0,411.9500122070313,0.7849990129470825,201.0375061035156,6.909999847412109,14.281299591064451,82.0,2,intensiva_irrigacao
20.1,1902.0,70.47000122070312,2.602768898010254,31.93068122863769,10.270000457763672,15.008299827575684,18.0,2,intensiva_irrigacao
20.200000000000003,2337.0,16.8700008392334,3.4070379734039307,151.38954162597656,41.52000045776367,9.20989990234375,87.0,2,intensiva_irrigacao
20.3,2451.0,101.83999633789062,0.7332829833030701,280.6196594238281,14.609999656677246,15.859600067138672,81.0,2,intensiva_irrigacao
20.700000000000003,1304.0,12.010000228881836,0.0,100.29118347167967,8.510000228881836,17.80780029296875,11.0,2,intensiva_irrigacao
21.0,1672.0,177.4600067138672,1.031290054321289,23.19858932495117,12.5,12.395099639892578,18.0,2,intensiva_irrigacao
21.0,1852.0,57.810001373291016,0.4249880015850067,113.19859313964844,5.050000190734863,25.140899658203125,12.0,2,intensiva_irrigacao
21.1,1696.0,225.9199981689453,4.362925052642822,161.56504821777344,41.77999877929688,15.515700340270996,1.0,2,intensiva_irrigacao
21.200000000000003,2072.0,602.3699951171875,2.0633931159973145,267.13006591796875,35.77000045776367,15.274100303649902,78.0,2,intensiva_irrigacao
21.4,1772.0,463.9100036621094,0.8335469961166382,124.21570587158205,65.20999908447266,13.508000373840332,88.0,2,intensiva_irrigacao
21.5,2214.0,88.47000122070312,0.230440005660057,225.0,107.16000366210938,33.64609909057617,83.0,2,intensiva_irrigacao
21.700000000000003,1817.0,93.51000213623048,0.0,291.8014221191406,64.55000305175781,24.6692008972168,8.0,2,intensiva_irrigacao
21.700000000000003,1864.0,75.91999816894531,0.8894519805908203,106.9275131225586,2.509999990463257,20.002700805664062,16.0,2,intensiva_irrigacao
21.8,1785.0,18.010000228881836,0.5550050139427185,335.224853515625,5.980000019073486,10.399700164794922,87.0,2,intensiva_irrigacao
21.8,1967.0,178.6199951171875,0.4634340107440948,60.94539260864258,8.460000038146973,23.207399368286133,31.0,2,intensiva_irrigacao
21.9,1792.0,256.760009765625,5.442996025085449,100.4914779663086,11.6899995803833,12.284099578857422,9.0,2,intensiva_irrigacao
22.0,1737.0,28.290000915527344,0.0,172.98089599609375,21.26000022888184,17.893400192260742,77.0,2,intensiva_irrigacao
22.0,1737.0,28.290000915527344,0.0,172.98089599609375,21.26000022888184,17.893400192260742,77.0,2,intensiva_irrigacao
22.1,1448.0,56.54999923706055,1.5715229511260986,260.5376892089844,37.7400016784668,20.0009994506836,16.0,2,intensiva_irrigacao
22.1,2523.0,230.259994506836,0.4117519855499267,180.59474182128903,85.27999877929688,22.758100509643555,85.0,2,intensiva_irrigacao
22.3,1703.0,19.36000061035156,5.373550891876221,141.6325225830078,0.0,13.209699630737305,87.0,2,intensiva_irrigacao
22.3,2426.0,54.310001373291016,1.7721420526504517,52.12501525878906,48.59999847412109,13.736599922180176,90.0,2,intensiva_irrigacao
22.4,1094.0,39.290000915527344,5.19691801071167,343.1785888671875,27.57999992370605,21.96330070495605,12.0,2,intensiva_irrigacao
22.4,2226.0,215.0800018310547,4.197216987609863,196.35867309570312,4.159999847412109,9.206000328063965,84.0,2,intensiva_irrigacao
22.5,1045.0,49.47999954223633,3.093799114227295,84.2894058227539,0.0,15.901300430297852,0.0,2,intensiva_irrigacao
22.6,1602.0,83.69999694824219,1.753720998764038,106.15734100341795,36.18999862670898,25.148500442504883,11.0,2,intensiva_irrigacao
22.6,1645.0,223.97999572753903,0.0,210.96376037597656,2.9600000381469727,19.98730087280273,78.0,2,intensiva_irrigacao
22.6,1645.0,223.97999572753903,0.0,210.96376037597656,2.9600000381469727,19.98730087280273,78.0,2,intensiva_irrigacao
22.6,1658.0,75.55000305175781,1.06085205078125,201.8014068603516,0.0,14.656100273132324,12.0,2,intensiva_irrigacao
22.6,1742.0,58.7599983215332,2.2267730236053467,329.6208801269531,12.25,12.053600311279297,17.0,2,intensiva_irrigacao
22.6,1813.0,55.13999938964844,1.1523189544677734,44.999996185302734,4.840000152587891,30.694900512695312,5.0,2,intensiva_irrigacao
22.700000000000003,1629.0,52.560001373291016,0.8488709926605225,247.619857788086,17.200000762939453,19.07719993591309,35.0,2,intensiva_irrigacao
22.700000000000003,1700.0,26.739999771118164,1.0497230291366575,315.64373779296875,7.059999942779541,14.779000282287598,36.0,2,intensiva_irrigacao
22.700000000000003,1842.0,73.08000183105469,5.258624076843262,272.8623962402344,5.230000019073486,22.30489921569824,18.0,2,intensiva_irrigacao
22.8,1163.0,46.13999938964844,4.068099021911621,154.9831085205078,45.290000915527344,22.6884994506836,31.0,2,intensiva_irrigacao
23.0,1556.0,18.040000915527344,0.8488709926605225,255.2564392089844,68.0,23.87470054626465,16.0,2,intensiva_irrigacao
23.0,2223.0,65.58999633789062,0.3713119924068451,302.47119140625,0.0,20.475500106811523,80.0,2,intensiva_irrigacao
23.200000000000003,1612.0,216.52999877929688,0.6511510014533997,359.5264892578125,0.0,23.70809936523437,11.0,2,intensiva_irrigacao
23.200000000000003,1688.0,145.25999450683594,3.9616239070892334,197.3909454345703,15.130000114440918,18.926700592041016,35.0,2,intensiva_irrigacao
23.3,1849.0,57.7599983215332,0.1456770002841949,198.43495178222656,10.350000381469728,14.79010009765625,13.0,2,intensiva_irrigacao
23.3,1849.0,57.7599983215332,0.1456770002841949,198.43495178222656,10.350000381469728,14.79010009765625,13.0,2,intensiva_irrigacao
23.4,1224.0,169.2100067138672,1.6765520572662354,251.56504821777344,4.139999866485596,12.168299674987791,27.0,2,intensiva_irrigacao
