"temperatura","precipitacao","altitude","declividade","exposicao","distancia_vertical_drenagem","densidade_drenagem","cobertura_arborea"
"26.700000000000003","1586.0","70.94000244140625","0.9776440262794495","116.56505584716797","0.0","22.168800354003906","80.0"
"27.0","1583.0","70.81999969482422","0.5149310231208801","333.4349365234375","27.389999389648438","18.851900100708008","73.0"
"26.8","2480.0","19.3700008392334","1.4754170179367065","122.59258270263672","0.3799999952316284","11.841300010681152","82.0"
"26.900000000000002","2817.0","354.0","0.7502899765968323","198.43495178222656","0.0","20.28070068359375","83.0"
"26.900000000000002","1599.0","76.20999908447266","0.6261559724807739","59.79676055908203","21.1299991607666","15.166199684143066","83.0"
"27.3","1614.0","175.74000549316406","1.9776469469070435","296.3057861328125","21.469999313354492","25.304500579833984","81.0"
"27.3","1665.0","67.45999908447266","1.863690972328186","336.3038635253906","118.54000091552734","9.408699989318848","91.0"
"26.900000000000002","2469.0","94.87999725341797","0.7847930192947388","1.0492550134658813","71.43000030517578","16.458999633789062","89.0"
"27.0","1687.0","79.44999694824219","6.056052207946777","50.6116828918457","91.72000122070312","14.028800010681152","67.0"
"26.900000000000002","1709.0","75.11000061035156","0.41175198554992676","180.0","115.23999786376953","23.207199096679688","34.0"
"26.900000000000002","1732.0","244.27000427246094","3.5708119869232178","85.91438293457031","11.789999961853027","23.869400024414062","5.0"
"25.5","3489.0","216.50999450683594","1.0196210145950317","220.28524780273438","69.06999969482422","22.63159942626953","75.0"
"27.0","3073.0","88.48999786376953","1.3537509441375732","115.20112609863281","65.62000274658203","22.812000274658203","71.0"
"26.8","2133.0","90.33000183105469","1.049720048904419","57.528804779052734","14.720000267028809","17.775299072265625","83.0"
"26.900000000000002","1744.0","103.4000015258789","1.9188929796218872","130.99049377441406","9.8100004196167","11.340999603271484","81.0"
"27.0","1762.0","65.9800033569336","0.7494450211524963","128.1572265625","123.87000274658203","7.564199924468994","80.0"
"26.900000000000002","1781.0","115.5","1.825708031654358","270.94696044921875","22.600000381469727","20.494699478149414","80.0"
"26.900000000000002","2484.0","110.41999816894531","3.431502103805542","111.31791687011719","45.970001220703125","11.580499649047852","80.0"
"27.1","2498.0","120.1500015258789","1.3748550415039062","210.0332794189453","10.369999885559082","20.697599411010742","18.0"
"26.0","2119.0","143.69000244140625","2.122307062149048","60.63499069213867","85.33999633789062","22.12070083618164","2.0"
"26.700000000000003","1658.0","157.2899932861328","1.2400920391082764","305.5376892089844","14.260000228881836","15.006999969482422","89.0"
"26.700000000000003","2227.0","83.68000030517578","1.8216890096664429","284.1068115234375","0.0","17.404699325561523","78.0"
"26.700000000000003","1793.0","15.140000343322754","2.904207944869995","169.2156982421875","293.9100036621094","26.680200576782227","17.0"
"25.700000000000003","1804.0","306.2799987792969","0.8862289786338806","199.7988739013672","50.33000183105469","18.502399444580078","17.0"
"26.6","1591.0","167.52999877929688","2.760759115219116","349.5257568359375","4.989999771118164","21.188400268554688","30.0"
"25.6","2205.0","110.33999633789062","0.0","174.55966186523438","1.9800000190734863","27.19260025024414","71.0"
"25.5","2119.0","169.13999938964844","0.0","157.68055725097656","0.46000000834465027","10.595199584960938","59.0"
"25.700000000000003","1812.0","99.63999938964844","0.6915019750595093","71.56504821777344","27.270000457763672","11.85099983215332","13.0"
"27.0","1813.0","125.48999786376953","4.792792797088623","242.5457305908203","18.90999984741211","8.780200004577637","7.0"
"25.6","1819.0","120.11000061035156","0.372855007648468","234.68878173828125","7.809999942779541","21.77549934387207","22.0"
"26.0","1642.0","126.04000091552734","2.341939926147461","141.37718200683594","11.40999984741211","12.490300178527832","87.0"
"26.6","942.0","137.6699981689453","3.927217960357666","201.37062072753906","2.1700000762939453","19.593599319458008","81.0"
"25.900000000000002","941.0","122.58000183105469","4.926937103271484","50.042449951171875","58.72999954223633","22.00670051574707","77.0"
"26.700000000000003","915.0","228.19000244140625","0.8061209917068481","109.23067474365234","51.43000030517578","11.317299842834473","91.0"
"26.400000000000002","1821.0","105.88999938964844","0.754347026348114","116.896240234375","113.25","13.238300323486328","91.0"
"26.400000000000002","1827.0","160.60000610351562","4.834611892700195","73.810791015625","94.56999969482422","19.784900665283203","88.0"
"25.5","1843.0","162.1999969482422","2.488555908203125","74.42745208740234","87.69000244140625","22.75480079650879","84.0"
"26.6","1860.0","206.6300048828125","3.0096170902252197","202.619873046875","37.45000076293945","15.592599868774414","87.0"
"26.6","1878.0","211.92999267578125","7.920543193817139","156.37062072753906","54.63999938964844","16.95789909362793","85.0"
"26.5","1858.0","182.4499969482422","1.432832956314087","18.434947967529297","0.0","21.515499114990234","83.0"
"26.700000000000003","1819.0","57.11000061035156","7.606832981109619","156.80140686035156","53.37009811401367","19.518199920654297","86.0"
"26.1","1775.0","180.42999267578125","1.6350879669189453","124.11447143554688","35.36000061035156","31.17609977722168","84.0"
"26.0","1731.0","227.1999969482422","6.461952209472656","18.434947967529297","37.439998626708984","22.46619987487793","85.0"
"26.0","2499.0","102.11000061035156","1.8980319499969482","117.64598083496094","27.389999389648438","21.903499603271484","84.0"
"26.8","1654.0","158.8300018310547","2.9986720085144043","172.8663330078125","221.77999877929688","12.22029972076416","86.0"
"26.400000000000002","3487.0","121.54000091552734","4.3896989822387695","86.1398696899414","422.70001220703125","11.45740032196045","84.0"
"26.400000000000002","2142.0","145.02000427246094","4.2416229248046875","340.4633483886719","0.0","20.856000900268555","87.0"
"26.3","1682.0","229.50999450683594","4.3319292068481445","104.50904083251953","463.1600036621094","23.968900680541992","83.0"
"26.3","1634.0","241.52000427246094","0.5843899846076965","299.0545959472656","62.75","14.607099533081055","84.0"
"26.3","2336.0","175.83999633789062","3.723712921142578","45.64374542236328","24.889999389648438","19.160200119018555","89.0"
"26.3","3511.0","232.5399932861328","0.9776440262794495","281.6269836425781","1009.5","15.791500091552734","93.0"
"26.400000000000002","2799.0","443.9700012207031","2.285460948944092","235.30484008789062","13.079999923706055","25.463899612426758","85.0"
"26.3","2798.0","129.5","6.715421199798584","157.7550048828125","37.84000015258789","11.108200073242188","85.0"
"26.3","2717.0","105.23999786376953","15.335820198059082","94.70280456542969","7.550000190734863","18.121299743652344","85.0"
"26.3","1595.0","163.07000732421875","3.5135080814361572","90.75385284423828","225.8000030517578","16.05120086669922","95.0"
"26.5","2590.0","138.3699951171875","6.21352481842041","99.2461166381836","3.990000009536743","17.492300033569336","81.0"
"26.400000000000002","1573.0","47.0","1.8488500118255615","22.285585403442383","21.020000457763672","22.541900634765625","86.0"
