temperatura,precipitacao,altitude,declividade,exposicao,distancia_vertical_drenagem,densidade_drenagem,cobertura_arborea,target
18.5,1729.0,26.290000915527344,1.957808017730713,88.15238952636719,13.529999732971191,14.781299591064451,40.0,pinha
18.6,1685.0,310.6199951171875,0.6619619727134705,224.6441345214844,6.730000019073486,17.693899154663086,7.0,pinha
18.8,1668.0,17.649999618530273,2.948570966720581,270.0,4.989999771118164,14.795299530029297,80.0,pinha
18.9,2251.0,157.66000366210938,0.6269930005073547,141.34019470214844,57.77000045776367,11.704299926757812,77.0,pinha
19.1,1768.0,61.709999084472656,1.3035709857940674,,25.059999465942383,8.292099952697754,34.0,pinha
19.1,1837.0,123.4499969482422,0.2058790028095245,168.6900634765625,71.62999725341797,15.668399810791016,10.0,eucalipto
19.1,1837.0,123.4499969482422,0.2058790028095245,168.6900634765625,71.62999725341797,15.668399810791016,10.0,pinha
19.1,2546.0,1053.1199951171875,5.602138996124268,217.4053649902344,0.0,21.997800827026367,20.0,pinha
19.200000000000003,2097.0,174.02999877929688,0.5154110193252563,155.85446166992188,61.459999084472656,20.177600860595703,45.0,pinha
19.200000000000003,2344.0,68.27999877929688,1.1741780042648315,,32.0099983215332,19.58359909057617,75.0,pinha
19.3,2071.0,211.27999877929688,0.9714279770851136,,141.60000610351562,23.64539909362793,66.0,nenhum
19.4,1813.0,126.58000183105467,1.608886957168579,186.8427734375,7.980000019073486,15.56700038909912,27.0,pinha
19.4,1896.0,206.47000122070312,0.4249880015850067,12.115240097045898,8.5,20.94700050354004,13.0,pinha
19.4,2185.0,127.6500015258789,1.060075044631958,,36.0099983215332,13.50759983062744,85.0,pinha
19.4,2640.0,84.69999694824219,0.426593005657196,,18.670000076293945,23.971599578857425,5.0,pinha
19.4,2675.0,164.57000732421875,0.6594840288162231,,53.43000030517578,13.461700439453123,26.0,pinha
19.5,2817.0,40.06999969482422,1.1791269779205322,169.76895141601562,164.11000061035156,8.17140007019043,85.0,pinha
19.6,2440.0,38.45000076293945,0.8307859897613525,,70.55000305175781,10.976699829101562,83.0,pinha
19.700000000000003,1612.0,16.0,0.9565539956092834,,6.289999961853027,12.074399948120115,84.0,pinha
19.8,2305.0,64.87000274658203,21.368040084838867,,41.959999084472656,21.038000106811523,86.0,pinha
20.0,3431.0,411.9500122070313,0.7849990129470825,201.0375061035156,6.909999847412109,14.281299591064451,82.0,pinha
20.0,849.0,148.92999267578125,4.595057964324951,,32.11000061035156,9.437899589538574,77.0,pinha
20.1,1902.0,70.47000122070312,2.602768898010254,31.93068122863769,10.270000457763672,15.008299827575684,18.0,eucalipto
20.200000000000003,2337.0,16.8700008392334,3.4070379734039307,151.38954162597656,41.52000045776367,9.20989990234375,87.0,pinha
20.3,2451.0,101.83999633789062,0.7332829833030701,280.6196594238281,14.609999656677246,15.859600067138672,81.0,pinha
20.3,2762.0,16.709999084472656,0.3713169991970062,,13.800000190734863,17.23040008544922,43.0,pinha
